park,total_PartIII,PartIII_NRC,PartIII_PS
CABR,353,132,221
CHIS,1610,847,763
CRLA,2032,122,1910
CRMO,117,34,83
DEVA,4008,1053,2955
GOGA,5048,1629,3419
GRBA,479,107,372
HALE,1258,199,1059
HAVO,4889,500,4389
JOTR,2799,762,2037
KAHO,246,162,84
KALA,18,7,11
LABE,484,156,328
LAKE,37989,2268,35721
LARO,1969,354,1615
LAVO,1634,623,1011
MOJA,5059,627,4432
MORA,6074,516,5558
NOCA,1230,430,800
OLYM,8490,555,7935
ORCA,1,1,0
PINN,773,77,696
PORE,1765,201,1564
PUHO,118,71,47
REDW,689,175,514
SAMO,3068,849,2219
SEKI,4260,1093,3167
VALR,466,0,466
WHIS,8205,496,7709
YOSE,147631,37418,110213
